,Vehicle Name,Vehicle Description,Electric,Model Name,Average Rating,Brand Name,Vehicle Image,Category Name,Vehicle Price,Variant Name,Fuel Type,Power,End Point
0,Tata 1815 LPT,"The Tata 1815 LPT is a medium-duty truck built for long-distance and intercity cargo transportation. Known for its high payload capacity and durability, this truck delivers exceptional fuel efficiency and performance. Its proven LPT design ensures reliability, while the robust build makes it ideal for industries like logistics, FMCG, and e-commerce. The cabin is designed with comfort and convenience in mind, featuring ergonomic seating and modern controls. The Tata 1815 LPT is a trusted choice for businesses looking for cost-effective and reliable transportation solutions.",No,1815 LPT,0.0,Tata,https://images.91trucks.com/trucks/models/63/1274/tata-815-lpt-1340125921.jpg,Truck,₹26.84 Lakh,DCR 48 HSD,Diesel,Not Available,https://www.91trucks.com/trucks/tata/815-lpt/dcr-48-hsd
1,Tata 1815 LPT,"The Tata 1815 LPT is a medium-duty truck built for long-distance and intercity cargo transportation. Known for its high payload capacity and durability, this truck delivers exceptional fuel efficiency and performance. Its proven LPT design ensures reliability, while the robust build makes it ideal for industries like logistics, FMCG, and e-commerce. The cabin is designed with comfort and convenience in mind, featuring ergonomic seating and modern controls. The Tata 1815 LPT is a trusted choice for businesses looking for cost-effective and reliable transportation solutions.",No,1815 LPT,0.0,Tata,https://images.91trucks.com/trucks/models/63/1274/tata-815-lpt-1340125921.jpg,Truck,₹26.00 Lakh,DCR 48 CBC,Diesel,Not Available,https://www.91trucks.com/trucks/tata/815-lpt/dcr-48-cbc
2,Tata 1815 LPT,"The Tata 1815 LPT is a medium-duty truck built for long-distance and intercity cargo transportation. Known for its high payload capacity and durability, this truck delivers exceptional fuel efficiency and performance. Its proven LPT design ensures reliability, while the robust build makes it ideal for industries like logistics, FMCG, and e-commerce. The cabin is designed with comfort and convenience in mind, featuring ergonomic seating and modern controls. The Tata 1815 LPT is a trusted choice for businesses looking for cost-effective and reliable transportation solutions.",No,1815 LPT,0.0,Tata,https://images.91trucks.com/trucks/models/63/1274/tata-815-lpt-1340125921.jpg,Truck,₹25.88 Lakh,DCR 42 HSD,Diesel,Not Available,https://www.91trucks.com/trucks/tata/815-lpt/dcr-42-hsd
3,Tata 1815 LPT,"The Tata 1815 LPT is a medium-duty truck built for long-distance and intercity cargo transportation. Known for its high payload capacity and durability, this truck delivers exceptional fuel efficiency and performance. Its proven LPT design ensures reliability, while the robust build makes it ideal for industries like logistics, FMCG, and e-commerce. The cabin is designed with comfort and convenience in mind, featuring ergonomic seating and modern controls. The Tata 1815 LPT is a trusted choice for businesses looking for cost-effective and reliable transportation solutions.",No,1815 LPT,0.0,Tata,https://images.91trucks.com/trucks/models/63/1274/tata-815-lpt-1340125921.jpg,Truck,₹25.84 Lakh,DCR 42 CBC,Diesel,Not Available,https://www.91trucks.com/trucks/tata/815-lpt/dcr-42-cbc
4,Tata Ultra Sleek T.7 Truck,"The Tata Ultra Sleek T.7 is a light commercial vehicle (LCV) designed for intra-city and last-mile deliveries. With a sleek and compact design, the T.7 ensures excellent maneuverability in narrow city streets while providing ample cargo space. This truck is equipped with a modern cabin, advanced ergonomics, and superior safety features, enhancing driver comfort and operational efficiency. It is ideal for logistics, e-commerce, and distribution businesses, offering reliability, fuel efficiency, and low maintenance costs. The Ultra Sleek T.7 is a preferred choice for businesses seeking a dependable and versatile light-duty truck.",No,Ultra Sleek T.7 Truck,0.0,Tata,https://images.91trucks.com/trucks/models/63/1281/tata-ultra-sleek-t-7-truck-740332917.jpg,Truck,₹17.90 Lakh,base,Not Available,92 HP,https://www.91trucks.com/trucks/tata/ultra-sleek-t-7-truck/base
5,Tata 710 SK,"The Tata 710 SK is an LCV tipper truck from Tata Motors, designed for transportation and logistics applications. In the BSIV era this truck was known as the legendary Sk407 tipper, it is powered by a 3.0L BSVI diesel engine that produces 98 hp of power @2800 rpm and 300 Nm of torque @1,200-2,200 rpm and is paired with a 5-speed manual gearbox. The 710 SK has a gross vehicle weight capacity of up to 7,490 kg and features parabolic leaf springs at the front and semi-elliptical leaf springs at the rear for robust suspension.",No,710 SK,0.0,Tata,https://images.91trucks.com/trucks/models/63/1259/tata-710-sk-1074481423.jpg,Truck,₹18.81 Lakh,Base,Not Available,98 HP,https://www.91trucks.com/trucks/tata/710-sk/base
6,Tata 610 LPK,"The Tata 610 LPK is a compact and versatile tipper truck designed for construction and infrastructure projects. With its robust build and high maneuverability, it performs well in challenging terrains and confined spaces. It offers excellent payload capacity for small-scale material transport such as sand, gravel, or debris. The fuel-efficient engine ensures lower operational costs, while the sturdy chassis adds to the truck’s durability. Its cabin is driver-centric, with comfort-focused features for productivity. The Tata 610 LPK is an ideal choice for small to medium construction businesses requiring reliable tipping solutions.",No,610 LPK,0.0,Tata,https://images.91trucks.com/trucks/models/63/1258/tata-610-lpk-88033027.jpg,Truck,₹18.01 Lakh,Base,Not Available,Not Available,https://www.91trucks.com/trucks/tata/610-lpk/base
7,Tata Ultra Sleek T.9,"The Tata Ultra Sleek T.9 is a high-performance commercial vehicle that offers a unique blend of style, comfort, and functionality. It is designed to cater to the needs of businesses that require a reliable and efficient transportation solution. The vehicle is powered by a 4-cylinder, 4-stroke diesel engine that produces 98 horsepower and 300 Nm of torque. It has a 6-speed manual transmission and a top speed of 120 km/h.",No,Ultra Sleek T.9,0.0,Tata,https://images.91trucks.com/trucks/models/63/1282/tata-ultra-sleek-t-9-199732698.jpg,Truck,₹17.36 Lakh,3550/CAB/6 Tyre,Diesel,Not Available,https://www.91trucks.com/trucks/tata/ultra-sleek-t-9/3550-cab-6-tyre
8,Tata Ultra Sleek T.9,"The Tata Ultra Sleek T.9 is a high-performance commercial vehicle that offers a unique blend of style, comfort, and functionality. It is designed to cater to the needs of businesses that require a reliable and efficient transportation solution. The vehicle is powered by a 4-cylinder, 4-stroke diesel engine that produces 98 horsepower and 300 Nm of torque. It has a 6-speed manual transmission and a top speed of 120 km/h.",No,Ultra Sleek T.9,0.0,Tata,https://images.91trucks.com/trucks/models/63/1282/tata-ultra-sleek-t-9-199732698.jpg,Truck,₹17.32 Lakh,3550/HDLB/6 Tyre,Diesel,Not Available,https://www.91trucks.com/trucks/tata/ultra-sleek-t-9/3550-hdlb-6-tyre
9,Tata Ultra Sleek T.9,"The Tata Ultra Sleek T.9 is a high-performance commercial vehicle that offers a unique blend of style, comfort, and functionality. It is designed to cater to the needs of businesses that require a reliable and efficient transportation solution. The vehicle is powered by a 4-cylinder, 4-stroke diesel engine that produces 98 horsepower and 300 Nm of torque. It has a 6-speed manual transmission and a top speed of 120 km/h.",No,Ultra Sleek T.9,0.0,Tata,https://images.91trucks.com/trucks/models/63/1282/tata-ultra-sleek-t-9-199732698.jpg,Truck,₹17.31 Lakh,4530/CAB/6 Tyre,Diesel,Not Available,https://www.91trucks.com/trucks/tata/ultra-sleek-t-9/4530-cab-6-tyre
10,Tata Ultra Sleek T.9,"The Tata Ultra Sleek T.9 is a high-performance commercial vehicle that offers a unique blend of style, comfort, and functionality. It is designed to cater to the needs of businesses that require a reliable and efficient transportation solution. The vehicle is powered by a 4-cylinder, 4-stroke diesel engine that produces 98 horsepower and 300 Nm of torque. It has a 6-speed manual transmission and a top speed of 120 km/h.",No,Ultra Sleek T.9,0.0,Tata,https://images.91trucks.com/trucks/models/63/1282/tata-ultra-sleek-t-9-199732698.jpg,Truck,₹17.30 Lakh,3920/CAB/6 Tyre,Diesel,Not Available,https://www.91trucks.com/trucks/tata/ultra-sleek-t-9/3920-cab-6-tyre
